Name,Mode,True Positive,False Positive,False Negative,True Negative,True Event,Check event,Validations Number,Duration,Process time
4_076_1.mp4,0,8,0,40,29,a video of a person riding a bicycle on the street,,77,13.966666666666669,18.9778106212616
3_106_1.mp4,0,24,0,3,3,a video of a person riding a bicycle on the street,,30,14.981633333333331,16.384236574172974
1_067_1.mp4,0,14,0,7,0,a video of a person riding a bicycle on the street,,21,9.976633333333334,10.900658130645752
1_066_1.mp4,0,14,0,11,19,a video of a person riding a bicycle on the street,,44,14.981633333333331,17.512191772460938
2_096_1.mp4,0,24,0,14,21,a video of a person riding a bicycle on the street,,59,15.0,18.92207360267639
4_077_1.mp4,0,18,0,10,5,a video of a person riding a bicycle on the street,,33,10.966666666666669,11.64335012435913
3_105_1.mp4,0,24,0,21,16,a video of a person riding a bicycle on the street,,61,20.053366666666665,23.61687660217285
2_067_1.mp4,0,0,0,29,115,a video of multiple people engaged in a physical fight,,144,25.0,35.665409564971924
4_082_1.mp4,0,2,0,150,25,a video of multiple people engaged in a physical fight,,177,30.966666666666665,38.244001388549805
3_079_1.mp4,0,0,0,101,114,a video of multiple people engaged in a physical fight,,215,45.011633333333336,60.29378342628479
2_065_1.mp4,0,0,0,131,129,a video of multiple people engaged in a physical fight,,260,45.0,64.04455542564392
1_081_1.mp4,0,0,0,28,4,a video of multiple people engaged in a physical fight,,32,12.979633333333334,14.616708517074583
3_089_1.mp4,0,0,0,108,9,a video of multiple people engaged in a physical fight,,117,29.99663333333333,37.80957889556885
1_088_1.mp4,0,0,0,163,100,a video of multiple people engaged in a physical fight,,263,45.011633333333336,63.96068358421326
2_068_1.mp4,0,0,0,101,69,a video of multiple people engaged in a physical fight,,170,35.0,47.41705298423767
1_071_1.mp4,0,0,0,65,48,a video of multiple people engaged in a physical fight,,113,19.986633333333334,28.47224926948548
4_079_1.mp4,0,0,0,122,80,a video of multiple people engaged in a physical fight,,202,34.96666666666667,42.55185794830322
3_076_1.mp4,0,6,0,165,116,a video of multiple people engaged in a physical fight,,287,49.78306666666667,72.89276266098022
2_081_1.mp4,0,0,0,85,11,a video of multiple people engaged in a physical fight,,96,17.0,24.57187032699585
1_072_1.mp4,0,17,0,98,18,a video of multiple people engaged in a physical fight,,133,24.991633333333333,34.8580858707428
2_077_1.mp4,0,0,0,28,38,a video of multiple people engaged in a physical fight,,66,12.0,16.967647075653076
4_096_1.mp4,0,0,0,79,51,a video of multiple people engaged in a physical fight,,130,22.966666666666665,28.12432861328125
2_076_1.mp4,0,0,0,59,58,a video of multiple people engaged in a physical fight,,117,25.0,33.623454570770264
4_103_1.mp4,0,0,0,69,32,a video of multiple people engaged in a physical fight,,101,17.966666666666665,21.906368255615234
1_083_1.mp4,0,0,0,42,33,a video of multiple people engaged in a physical fight,,75,14.981633333333331,20.587557554244995
4_105_1.mp4,0,0,0,96,73,a video of multiple people engaged in a physical fight,,169,34.96666666666667,40.731388092041016
2_086_1.mp4,0,11,0,169,114,a video of multiple people engaged in a physical fight,,294,50.0,72.03526377677917
3_078_1.mp4,0,0,0,51,241,a video of multiple people engaged in a physical fight,,292,50.01663333333333,71.05658268928528
4_081_1.mp4,0,0,0,53,60,a video of multiple people engaged in a physical fight,,113,19.966666666666665,23.878570079803467
3_095_1.mp4,0,0,0,69,74,a video of multiple people engaged in a physical fight,,143,24.991633333333333,35.46646332740784
1_069_1.mp4,0,0,0,173,58,a video of multiple people engaged in a physical fight,,231,40.00663333333333,55.77508354187012
2_084_1.mp4,0,0,0,65,49,a video of multiple people engaged in a physical fight,,114,20.0,28.030665397644043
1_086_1.mp4,0,0,0,66,77,a video of multiple people engaged in a physical fight,,143,24.991633333333333,34.90790152549744
2_079_1.mp4,0,0,0,72,42,a video of multiple people engaged in a physical fight,,114,20.0,28.29838728904724
4_093_1.mp4,0,0,0,114,29,a video of multiple people engaged in a physical fight,,143,24.966666666666665,29.944315910339355
1_094_1.mp4,0,79,16,161,127,a video of a group of people playing a sport together,,383,65.03163333333333,93.77584862709044
3_101_1.mp4,0,5,0,585,273,a video of a group of people playing a sport together,,863,145.07826666666668,208.1441295146942
4_111_1.mp4,0,0,0,253,130,a video of a group of people playing a sport together,,383,64.96666666666667,79.06062912940979
3_102_1.mp4,0,17,0,245,211,a video of a group of people playing a sport together,,473,80.04663333333333,115.62195324897766
2_090_1.mp4,0,0,0,524,507,a video of a group of people playing a sport together,,1031,180.0,253.80871486663816
1_093_1.mp4,0,17,19,513,344,a video of a group of people playing a sport together,,893,150.11663333333334,211.51351928710935
2_093_1.mp4,0,0,0,260,124,a video of a group of people playing a sport together,,384,65.0,93.2804880142212
4_109_1.mp4,0,0,0,449,245,a video of a group of people playing a sport together,,694,116.96666666666668,142.2999303340912
4_110_1.mp4,0,0,0,30,77,a video of a person running,,107,19.966666666666665,23.704124927520752
3_090_1.mp4,0,5,39,3,22,a video of a person running,,69,19.986633333333334,24.417893171310425
3_093_1.mp4,0,53,74,14,34,a video of a person running,,175,35.00163333333333,47.0092613697052
4_092_1.mp4,0,2,0,32,19,a video of a person running,,53,9.966666666666669,11.696264743804932
2_066_1.mp4,0,18,0,61,24,a video of a person running,,103,20.0,27.36329197883606
4_101_1.mp4,0,0,6,75,55,a video of a person running,,136,23.966666666666665,28.61174154281616
2_094_1.mp4,0,21,175,13,355,a video of a person running,,564,120.0,157.6148853302002
1_068_1.mp4,0,0,0,31,41,a video of a person running,,72,14.981633333333331,19.684109687805176
3_104_1.mp4,0,66,62,2,9,a video of a person running,,139,24.991633333333333,34.58665609359741
3_094_1.mp4,0,16,29,23,68,a video of a person running,,136,24.991633333333333,34.75888752937317
1_077_1.mp4,0,4,6,14,52,a video of a person running,,76,16.983633333333334,21.79018473625183
4_087_1.mp4,0,0,0,53,36,a video of a person running,,89,15.966666666666669,18.82052493095398
2_075_1.mp4,0,0,0,17,0,a video of a person running,,17,15.0,15.389920473098757
4_090_1.mp4,0,0,0,23,29,a video of a person running,,52,9.966666666666669,11.67904281616211
2_085_1.mp4,0,4,0,14,36,a video of a person running,,54,10.0,13.863935708999634
3_085_1.mp4,0,7,23,18,65,a video of a person running,,113,19.986633333333334,28.081010818481445
4_088_1.mp4,0,13,16,17,31,a video of a person running,,77,13.966666666666669,16.543527364730835
1_096_1.mp4,0,5,5,5,8,a video of a person running,,23,9.976633333333334,10.95556116104126
4_080_1.mp4,0,17,1,57,50,a video of a person running,,125,21.966666666666665,26.315269231796265
1_070_1.mp4,0,21,0,13,21,a video of a person running,,55,14.981633333333331,18.22790050506592
4_078_1.mp4,0,10,1,17,25,a video of a person running,,53,9.966666666666669,11.67976188659668
4_104_1.mp4,0,0,0,16,13,a video of a person running,,29,5.966666666666667,6.860835552215576
2_073_1.mp4,0,1,40,27,147,a video of a person running,,215,45.0,59.67634654045105
4_112_1.mp4,0,0,0,27,38,a video of a person running,,65,11.966666666666669,14.087076425552368
2_095_1.mp4,0,30,4,10,20,a video of a person running,,64,15.0,19.20159077644348
3_077_1.mp4,0,53,70,17,16,a video of a person running,,156,29.99663333333333,40.63178968429565
2_064_1.mp4,0,3,2,35,44,a video of a person running,,84,15.0,21.01946997642517
1_079_1.mp4,0,0,0,27,0,a video of a person running,,27,14.981633333333331,15.87596583366394
4_102_1.mp4,0,0,0,21,29,a video of a person running,,50,9.966666666666669,11.486874103546144
3_103_1.mp4,0,21,31,3,1,a video of a person running,,56,14.981633333333331,18.583167791366577
3_097_1.mp4,0,16,43,20,32,a video of a person running,,111,24.991633333333333,32.31347465515137
1_095_1.mp4,0,0,0,27,13,a video of a person running,,40,13.980633333333332,16.040746212005615
